Series_Title,IMDB_Rating,Genre,Runtime,Certificate,Released_Year
Eternal Sunshine of the Spotless Mind,8.3,"Drama, Romance, Sci-Fi",108 min,UA,2004
Amélie,8.3,"Comedy, Romance",122 min,U,2001
Snatch,8.3,"Comedy, Crime",104 min,UA,2000
Requiem for a Dream,8.3,Drama,102 min,A,2000
American Beauty,8.3,Drama,122 min,UA,1999
Good Will Hunting,8.3,"Drama, Romance",126 min,U,1997
Bacheha-Ye aseman,8.3,"Drama, Family, Sport",89 min,PG,1997
Toy Story,8.3,"Animation, Adventure, Comedy",81 min,U,1995
Braveheart,8.3,"Biography, Drama, History",178 min,A,1995
Reservoir Dogs,8.3,"Crime, Drama, Thriller",99 min,R,1992
Full Metal Jacket,8.3,"Drama, War",116 min,UA,1987
Idi i smotri,8.3,"Drama, Thriller, War",142 min,A,1985
Aliens,8.3,"Action, Adventure, Sci-Fi",137 min,U,1986
Amadeus,8.3,"Biography, Drama, History",160 min,R,1984
Scarface,8.3,"Crime, Drama",170 min,A,1983
Star Wars: Episode VI - Return of the Jedi,8.3,"Action, Adventure, Fantasy",131 min,U,1983
Das Boot,8.3,"Adventure, Drama, Thriller",149 min,R,1981
Taxi Driver,8.3,"Crime, Drama",114 min,A,1976
The Sting,8.3,"Comedy, Crime, Drama",129 min,U,1973
A Clockwork Orange,8.3,"Crime, Drama, Sci-Fi",136 min,A,1971
2001: A Space Odyssey,8.3,"Adventure, Sci-Fi",149 min,U,1968
Per qualche dollaro in più,8.3,Western,132 min,U,1965
Lawrence of Arabia,8.3,"Adventure, Biography, Drama",228 min,U,1962
The Apartment,8.3,"Comedy, Drama, Romance",125 min,U,1960
North by Northwest,8.3,"Adventure, Mystery, Thriller",136 min,U,1959
Vertigo,8.3,"Mystery, Romance, Thriller",128 min,A,1958
Singin' in the Rain,8.3,"Comedy, Musical, Romance",103 min,G,1952
Ikiru,8.3,Drama,143 min,,1952
Ladri di biciclette,8.3,Drama,89 min,,1948
Double Indemnity,8.3,"Crime, Drama, Film-Noir",107 min,Passed,1944
Citizen Kane,8.3,"Drama, Mystery",119 min,UA,1941
M - Eine Stadt sucht einen Mörder,8.3,"Crime, Mystery, Thriller",117 min,Passed,1931
Metropolis,8.3,"Drama, Sci-Fi",153 min,,1927
The Kid,8.3,"Comedy, Drama, Family",68 min,Passed,1921
Chhichhore,8.2,"Comedy, Drama",143 min,UA,2019
Uri: The Surgical Strike,8.2,"Action, Drama, War",138 min,UA,2018
K.G.F: Chapter 1,8.2,"Action, Drama",156 min,UA,2018
Green Book,8.2,"Biography, Comedy, Drama",130 min,UA,2018
"Three Billboards Outside Ebbing, Missouri",8.2,"Comedy, Crime, Drama",115 min,A,2017
Talvar,8.2,"Crime, Drama, Mystery",132 min,UA,2015
Baahubali 2: The Conclusion,8.2,"Action, Drama",167 min,UA,2017
Klaus,8.2,"Animation, Adventure, Comedy",96 min,PG,2019
Drishyam,8.2,"Crime, Drama, Mystery",163 min,UA,2015
Queen,8.2,"Adventure, Comedy, Drama",146 min,UA,2013
Mandariinid,8.2,"Drama, War",87 min,,2013
Bhaag Milkha Bhaag,8.2,"Biography, Drama, Sport",186 min,U,2013
Gangs of Wasseypur,8.2,"Action, Comedy, Crime",321 min,A,2012
Udaan,8.2,Drama,134 min,UA,2010
Paan Singh Tomar,8.2,"Action, Biography, Crime",135 min,UA,2012
El secreto de sus ojos,8.2,"Drama, Mystery, Romance",129 min,R,2009
Warrior,8.2,"Action, Drama, Sport",140 min,UA,2011
Shutter Island,8.2,"Mystery, Thriller",138 min,A,2010
Up,8.2,"Animation, Adventure, Comedy",96 min,U,2009
The Wolf of Wall Street,8.2,"Biography, Crime, Drama",180 min,A,2013
Chak De! India,8.2,"Drama, Family, Sport",153 min,U,2007
There Will Be Blood,8.2,Drama,158 min,A,2007
Pan's Labyrinth,8.2,"Drama, Fantasy, War",118 min,UA,2006
Toy Story 3,8.2,"Animation, Adventure, Comedy",103 min,U,2010
V for Vendetta,8.2,"Action, Drama, Sci-Fi",132 min,A,2005
Rang De Basanti,8.2,"Comedy, Crime, Drama",167 min,UA,2006
Black,8.2,Drama,122 min,U,2005
Batman Begins,8.2,"Action, Adventure",140 min,UA,2005
"Swades: We, the People",8.2,Drama,210 min,U,2004
Der Untergang,8.2,"Biography, Drama, History",156 min,R,2004
Hauru no ugoku shiro,8.2,"Animation, Adventure, Family",119 min,U,2004
A Beautiful Mind,8.2,"Biography, Drama",135 min,UA,2001
Hera Pheri,8.2,"Action, Comedy, Crime",156 min,U,2000
"Lock, Stock and Two Smoking Barrels",8.2,"Action, Comedy, Crime",107 min,A,1998
L.A. Confidential,8.2,"Crime, Drama, Mystery",138 min,A,1997
Eskiya,8.2,"Crime, Drama, Thriller",128 min,,1996
Heat,8.2,"Crime, Drama, Thriller",170 min,A,1995
Casino,8.2,"Crime, Drama",178 min,A,1995
Andaz Apna Apna,8.2,"Action, Comedy, Romance",160 min,U,1994
Unforgiven,8.2,"Drama, Western",130 min,A,1992
Indiana Jones and the Last Crusade,8.2,"Action, Adventure",127 min,U,1989
Dom za vesanje,8.2,"Comedy, Crime, Drama",142 min,R,1988
Tonari no Totoro,8.2,"Animation, Family, Fantasy",86 min,U,1988
Die Hard,8.2,"Action, Thriller",132 min,A,1988
Ran,8.2,"Action, Drama, War",162 min,U,1985
Raging Bull,8.2,"Biography, Drama, Sport",129 min,A,1980
Stalker,8.2,"Drama, Sci-Fi",162 min,U,1979
Höstsonaten,8.2,"Drama, Music",99 min,U,1978
The Message,8.2,"Biography, Drama, History",177 min,PG,1976
Sholay,8.2,"Action, Adventure, Comedy",204 min,U,1975
Monty Python and the Holy Grail,8.2,"Adventure, Comedy, Fantasy",91 min,PG,1975
The Great Escape,8.2,"Adventure, Drama, History",172 min,U,1963
To Kill a Mockingbird,8.2,"Crime, Drama",129 min,U,1962
Yôjinbô,8.2,"Action, Drama, Thriller",110 min,,1961
Judgment at Nuremberg,8.2,"Drama, War",179 min,A,1961
Some Like It Hot,8.2,"Comedy, Music, Romance",121 min,U,1959
Smultronstället,8.2,"Drama, Romance",91 min,U,1957
Det sjunde inseglet,8.2,"Drama, Fantasy, History",96 min,A,1957
Du rififi chez les hommes,8.2,"Crime, Drama, Thriller",118 min,,1955
Dial M for Murder,8.2,"Crime, Thriller",105 min,A,1954
Tôkyô monogatari,8.2,Drama,136 min,U,1953
Rashômon,8.2,"Crime, Drama, Mystery",88 min,,1950
All About Eve,8.2,Drama,138 min,Passed,1950
The Treasure of the Sierra Madre,8.2,"Adventure, Drama, Western",126 min,Passed,1948
To Be or Not to Be,8.2,"Comedy, War",99 min,Passed,1942
The Gold Rush,8.2,"Adventure, Comedy, Drama",95 min,Passed,1925
Sherlock Jr.,8.2,"Action, Comedy, Romance",45 min,Passed,1924
Portrait de la jeune fille en feu,8.1,"Drama, Romance",122 min,R,2019
Pink,8.1,"Drama, Thriller",136 min,UA,2016
Koe no katachi,8.1,"Animation, Drama, Family",130 min,16,2016
Contratiempo,8.1,"Crime, Drama, Mystery",106 min,TV-MA,2016
Ah-ga-ssi,8.1,"Drama, Romance, Thriller",145 min,A,2016
Mommy,8.1,Drama,139 min,R,2014
Haider,8.1,"Action, Crime, Drama",160 min,UA,2014
Logan,8.1,"Action, Drama, Sci-Fi",137 min,A,2017
Room,8.1,"Drama, Thriller",118 min,R,2015
Relatos salvajes,8.1,"Comedy, Drama, Thriller",122 min,R,2014
Soul,8.1,"Animation, Adventure, Comedy",100 min,U,2020
Kis Uykusu,8.1,Drama,196 min,,2014
PK,8.1,"Comedy, Drama, Musical",153 min,UA,2014
OMG: Oh My God!,8.1,"Comedy, Drama, Fantasy",125 min,U,2012
The Grand Budapest Hotel,8.1,"Adventure, Comedy, Crime",99 min,UA,2014
Gone Girl,8.1,"Drama, Mystery, Thriller",149 min,A,2014
Ôkami kodomo no Ame to Yuki,8.1,"Animation, Drama, Fantasy",117 min,U,2012
Hacksaw Ridge,8.1,"Biography, Drama, History",139 min,A,2016
Inside Out,8.1,"Animation, Adventure, Comedy",95 min,U,2015
Barfi!,8.1,"Comedy, Drama, Romance",151 min,U,2012
12 Years a Slave,8.1,"Biography, Drama, History",134 min,A,2013
Rush,8.1,"Action, Biography, Drama",123 min,UA,2013
Ford v Ferrari,8.1,"Action, Biography, Drama",152 min,UA,2019
Spotlight,8.1,"Biography, Crime, Drama",129 min,A,2015
Song of the Sea,8.1,"Animation, Adventure, Drama",93 min,PG,2014
Kahaani,8.1,"Mystery, Thriller",122 min,UA,2012
Zindagi Na Milegi Dobara,8.1,"Comedy, Drama",155 min,U,2011
Prisoners,8.1,"Crime, Drama, Mystery",153 min,A,2013
Mad Max: Fury Road,8.1,"Action, Adventure, Sci-Fi",120 min,UA,2015
A Wednesday,8.1,"Action, Crime, Drama",104 min,UA,2008
Gran Torino,8.1,Drama,116 min,R,2008
Harry Potter and the Deathly Hallows: Part 2,8.1,"Adventure, Drama, Fantasy",130 min,UA,2011
Okuribito,8.1,"Drama, Music",130 min,PG-13,2008
Hachi: A Dog's Tale,8.1,"Biography, Drama, Family",93 min,G,2009
Mary and Max,8.1,"Animation, Comedy, Drama",92 min,,2009
How to Train Your Dragon,8.1,"Animation, Action, Adventure",98 min,U,2010
Into the Wild,8.1,"Adventure, Biography, Drama",148 min,R,2007
No Country for Old Men,8.1,"Crime, Drama, Thriller",122 min,R,2007
Lage Raho Munna Bhai,8.1,"Comedy, Drama, Romance",144 min,U,2006
Million Dollar Baby,8.1,"Drama, Sport",132 min,UA,2004
Hotel Rwanda,8.1,"Biography, Drama, History",121 min,PG-13,2004
Taegukgi hwinalrimyeo,8.1,"Action, Drama, War",140 min,R,2004
Before Sunset,8.1,"Drama, Romance",80 min,R,2004
Munna Bhai M.B.B.S.,8.1,"Comedy, Drama, Musical",156 min,U,2003
Salinui chueok,8.1,"Crime, Drama, Mystery",131 min,UA,2003
Dil Chahta Hai,8.1,"Comedy, Drama, Romance",183 min,Unrated,2001
Kill Bill: Vol. 1,8.1,"Action, Crime, Drama",111 min,R,2003
Finding Nemo,8.1,"Animation, Adventure, Comedy",100 min,U,2003
Catch Me If You Can,8.1,"Biography, Crime, Drama",141 min,A,2002
Amores perros,8.1,"Drama, Thriller",154 min,A,2000
"Monsters, Inc.",8.1,"Animation, Adventure, Comedy",92 min,U,2001
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,"Animation, Action, Drama",87 min,UA,1997
Lagaan: Once Upon a Time in India,8.1,"Adventure, Drama, Musical",224 min,U,2001
The Sixth Sense,8.1,"Drama, Mystery, Thriller",107 min,A,1999
La leggenda del pianista sull'oceano,8.1,"Drama, Music, Romance",169 min,U,1998
The Truman Show,8.1,"Comedy, Drama",103 min,U,1998
"Crna macka, beli macor",8.1,"Comedy, Crime, Romance",127 min,R,1998
The Big Lebowski,8.1,"Comedy, Crime, Sport",117 min,R,1998
Fa yeung nin wah,8.1,"Drama, Romance",98 min,U,2000
Trainspotting,8.1,Drama,93 min,A,1996
Fargo,8.1,"Crime, Drama, Thriller",98 min,A,1996
Underground,8.1,"Comedy, Drama, War",170 min,,1995
La haine,8.1,"Crime, Drama",98 min,UA,1995
Dilwale Dulhania Le Jayenge,8.1,"Drama, Romance",189 min,U,1995
Before Sunrise,8.1,"Drama, Romance",101 min,R,1995
Trois couleurs: Rouge,8.1,"Drama, Mystery, Romance",99 min,U,1994
Chung Hing sam lam,8.1,"Comedy, Crime, Drama",102 min,U,1994
Jurassic Park,8.1,"Action, Adventure, Sci-Fi",127 min,UA,1993
In the Name of the Father,8.1,"Biography, Crime, Drama",133 min,UA,1993
Ba wang bie ji,8.1,"Drama, Music, Romance",171 min,R,1993
Dà hóng denglong gaogao guà,8.1,"Drama, History, Romance",125 min,PG,1991
Dead Poets Society,8.1,"Comedy, Drama",128 min,U,1989
Stand by Me,8.1,"Adventure, Drama",89 min,U,1986
Platoon,8.1,"Drama, War",120 min,A,1986
"Paris, Texas",8.1,Drama,145 min,U,1984
Kaze no tani no Naushika,8.1,"Animation, Adventure, Fantasy",117 min,U,1984
The Thing,8.1,"Horror, Mystery, Sci-Fi",109 min,A,1982
Pink Floyd: The Wall,8.1,"Drama, Fantasy, Music",95 min,UA,1982
Fitzcarraldo,8.1,"Adventure, Drama",158 min,R,1982
Fanny och Alexander,8.1,Drama,188 min,A,1982
Blade Runner,8.1,"Action, Sci-Fi, Thriller",117 min,UA,1982
The Elephant Man,8.1,"Biography, Drama",124 min,UA,1980
Life of Brian,8.1,Comedy,94 min,R,1979
The Deer Hunter,8.1,"Drama, War",183 min,A,1978
Rocky,8.1,"Drama, Sport",120 min,U,1976
Network,8.1,Drama,121 min,UA,1976
Barry Lyndon,8.1,"Adventure, Drama, History",185 min,PG,1975
Zerkalo,8.1,"Biography, Drama",107 min,G,1975
Chinatown,8.1,"Drama, Mystery, Thriller",130 min,UA,1974
Paper Moon,8.1,"Comedy, Crime, Drama",102 min,U,1973
Viskningar och rop,8.1,Drama,91 min,A,1972
Solaris,8.1,"Drama, Mystery, Sci-Fi",167 min,PG,1972
Le samouraï,8.1,"Crime, Drama, Mystery",105 min,GP,1967
Cool Hand Luke,8.1,"Crime, Drama",127 min,A,1967
Persona,8.1,"Drama, Thriller",85 min,,1966
Andrei Rublev,8.1,"Biography, Drama, History",205 min,R,1966
La battaglia di Algeri,8.1,"Drama, War",121 min,,1966
El ángel exterminador,8.1,"Drama, Fantasy",95 min,,1962
What Ever Happened to Baby Jane?,8.1,"Drama, Horror, Thriller",134 min,Passed,1962
Sanjuro,8.1,"Action, Comedy, Crime",96 min,U,1962
The Man Who Shot Liberty Valance,8.1,"Drama, Western",123 min,,1962
Ivanovo detstvo,8.1,"Drama, War",95 min,,1962
Jungfrukällan,8.1,Drama,89 min,A,1960
Inherit the Wind,8.1,"Biography, Drama, History",128 min,Passed,1960
Les quatre cents coups,8.1,"Crime, Drama",99 min,,1959
Ben-Hur,8.1,"Adventure, Drama, History",212 min,U,1959
Kakushi-toride no san-akunin,8.1,"Adventure, Drama",139 min,,1958
Le notti di Cabiria,8.1,Drama,110 min,,1957
Kumonosu-jô,8.1,"Drama, History",110 min,,1957
The Bridge on the River Kwai,8.1,"Adventure, Drama, War",161 min,PG,1957
On the Waterfront,8.1,"Crime, Drama, Thriller",108 min,A,1954
Le salaire de la peur,8.1,"Adventure, Drama, Thriller",131 min,U,1953
Ace in the Hole,8.1,"Drama, Film-Noir",111 min,Approved,1951
White Heat,8.1,"Action, Crime, Drama",114 min,,1949
The Third Man,8.1,"Film-Noir, Mystery, Thriller",104 min,Approved,1949
The Red Shoes,8.1,"Drama, Music, Romance",135 min,,1948
The Shop Around the Corner,8.1,"Comedy, Drama, Romance",99 min,,1940
Rebecca,8.1,"Drama, Mystery, Romance",130 min,Approved,1940
Mr. Smith Goes to Washington,8.1,"Comedy, Drama",129 min,Passed,1939
Gone with the Wind,8.1,"Drama, History, Romance",238 min,U,1939
La Grande Illusion,8.1,"Drama, War",113 min,,1937
It Happened One Night,8.1,"Comedy, Romance",105 min,Approved,1934
La passion de Jeanne d'Arc,8.1,"Biography, Drama, History",110 min,Passed,1928
The Circus,8.1,"Comedy, Romance",72 min,Passed,1928
Sunrise: A Song of Two Humans,8.1,"Drama, Romance",94 min,Passed,1927
The General,8.1,"Action, Adventure, Comedy",67 min,Passed,1926
Das Cabinet des Dr. Caligari,8.1,"Fantasy, Horror, Mystery",76 min,,1920
Badhaai ho,8.0,"Comedy, Drama",124 min,UA,2018
Togo,8.0,"Adventure, Biography, Drama",113 min,U,2019
Airlift,8.0,"Drama, History",130 min,UA,2016
Bajrangi Bhaijaan,8.0,"Action, Adventure, Comedy",163 min,UA,2015
Baby,8.0,"Action, Crime, Thriller",159 min,UA,2015
La La Land,8.0,"Comedy, Drama, Music",128 min,A,2016
Lion,8.0,"Biography, Drama",118 min,U,2016
The Martian,8.0,"Adventure, Drama, Sci-Fi",144 min,UA,2015
Zootopia,8.0,"Animation, Adventure, Comedy",108 min,U,2016
Bãhubali: The Beginning,8.0,"Action, Drama",159 min,UA,2015
Kaguyahime no monogatari,8.0,"Animation, Adventure, Drama",137 min,U,2013
Wonder,8.0,"Drama, Family",113 min,U,2017
Gully Boy,8.0,"Drama, Music, Romance",154 min,UA,2019
Special Chabbis,8.0,"Crime, Drama, Thriller",144 min,UA,2013
Short Term 12,8.0,Drama,96 min,R,2013
Serbuan maut 2: Berandal,8.0,"Action, Crime, Thriller",150 min,A,2014
The Imitation Game,8.0,"Biography, Drama, Thriller",114 min,UA,2014
Guardians of the Galaxy,8.0,"Action, Adventure, Comedy",121 min,UA,2014
Blade Runner 2049,8.0,"Action, Drama, Mystery",164 min,UA,2017
Her,8.0,"Drama, Romance, Sci-Fi",126 min,A,2013
Bohemian Rhapsody,8.0,"Biography, Drama, Music",134 min,UA,2018
The Revenant,8.0,"Action, Adventure, Drama",156 min,A,2015
The Perks of Being a Wallflower,8.0,"Drama, Romance",103 min,UA,2012
Tropa de Elite 2: O Inimigo Agora é Outro,8.0,"Action, Crime, Drama",115 min,,2010
The King's Speech,8.0,"Biography, Drama, History",118 min,U,2010
The Help,8.0,Drama,146 min,UA,2011
Deadpool,8.0,"Action, Adventure, Comedy",108 min,R,2016
Darbareye Elly,8.0,"Drama, Mystery",119 min,TV-PG,2009
Dev.D,8.0,"Drama, Romance",144 min,A,2009
Yip Man,8.0,"Action, Biography, Drama",106 min,R,2008
My Name Is Khan,8.0,Drama,165 min,UA,2010
Nefes: Vatan Sagolsun,8.0,"Action, Drama, Thriller",128 min,,2009
Slumdog Millionaire,8.0,"Drama, Romance",120 min,UA,2008
Black Swan,8.0,"Drama, Thriller",108 min,A,2010
Tropa de Elite,8.0,"Action, Crime, Drama",115 min,R,2007
The Avengers,8.0,"Action, Adventure, Sci-Fi",143 min,UA,2012
Persepolis,8.0,"Animation, Biography, Drama",96 min,PG-13,2007
Dallas Buyers Club,8.0,"Biography, Drama",117 min,R,2013
The Pursuit of Happyness,8.0,"Biography, Drama",117 min,U,2006
Blood Diamond,8.0,"Adventure, Drama, Thriller",143 min,A,2006
The Bourne Ultimatum,8.0,"Action, Mystery, Thriller",115 min,UA,2007
Bin-jip,8.0,"Crime, Drama, Romance",88 min,U,2004
Sin City,8.0,"Crime, Thriller",124 min,A,2005
Le scaphandre et le papillon,8.0,"Biography, Drama",112 min,PG-13,2007
G.O.R.A.,8.0,"Adventure, Comedy, Sci-Fi",127 min,,2004
Ratatouille,8.0,"Animation, Adventure, Comedy",111 min,U,2007
Casino Royale,8.0,"Action, Adventure, Thriller",144 min,PG-13,2006
Kill Bill: Vol. 2,8.0,"Action, Crime, Thriller",137 min,A,2004
Vozvrashchenie,8.0,Drama,110 min,,2003
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,8.0,"Drama, Romance",103 min,R,2003
Mar adentro,8.0,"Biography, Drama",126 min,U,2014
Cinderella Man,8.0,"Biography, Drama, History",144 min,UA,2005
Kal Ho Naa Ho,8.0,"Comedy, Drama, Musical",186 min,U,2003
Mou gaan dou,8.0,"Action, Crime, Drama",101 min,UA,2002
Pirates of the Caribbean: The Curse of the Black Pearl,8.0,"Action, Adventure, Fantasy",143 min,UA,2003
Big Fish,8.0,"Adventure, Drama, Fantasy",125 min,U,2003
The Incredibles,8.0,"Animation, Action, Adventure",115 min,U,2004
Yeopgijeogin geunyeo,8.0,"Comedy, Drama, Romance",137 min,,2001
Dogville,8.0,"Crime, Drama",178 min,R,2003
Vizontele,8.0,"Comedy, Drama",110 min,,2001
Donnie Darko,8.0,"Drama, Mystery, Sci-Fi",113 min,R,2001
Magnolia,8.0,Drama,188 min,R,1999
Dancer in the Dark,8.0,"Crime, Drama, Musical",140 min,U,2000
The Straight Story,8.0,"Biography, Drama",112 min,U,1999
Pâfekuto burû,8.0,"Animation, Crime, Mystery",81 min,A,1997
Festen,8.0,Drama,105 min,R,1998
Central do Brasil,8.0,Drama,110 min,R,1998
The Iron Giant,8.0,"Animation, Action, Adventure",86 min,PG,1999
Knockin' on Heaven's Door,8.0,"Action, Crime, Comedy",87 min,,1997
Sling Blade,8.0,Drama,135 min,R,1996
Secrets & Lies,8.0,"Comedy, Drama",136 min,U,1996
Twelve Monkeys,8.0,"Mystery, Sci-Fi, Thriller",129 min,A,1995
Kôkaku Kidôtai,8.0,"Animation, Action, Crime",83 min,UA,1995
The Nightmare Before Christmas,8.0,"Animation, Family, Fantasy",76 min,U,1993
Groundhog Day,8.0,"Comedy, Fantasy, Romance",101 min,U,1993
Bound by Honor,8.0,"Crime, Drama",180 min,R,1993
Scent of a Woman,8.0,Drama,156 min,UA,1992
Aladdin,8.0,"Animation, Adventure, Comedy",90 min,U,1992
JFK,8.0,"Drama, History, Thriller",189 min,UA,1991
Beauty and the Beast,8.0,"Animation, Family, Fantasy",84 min,G,1991
Dances with Wolves,8.0,"Adventure, Drama, Western",181 min,U,1990
Do the Right Thing,8.0,"Comedy, Drama",120 min,R,1989
Rain Man,8.0,Drama,133 min,U,1988
Akira,8.0,"Animation, Action, Sci-Fi",124 min,UA,1988
The Princess Bride,8.0,"Adventure, Family, Fantasy",98 min,U,1987
Der Himmel über Berlin,8.0,"Drama, Fantasy, Romance",128 min,U,1987
Au revoir les enfants,8.0,"Drama, War",104 min,U,1987
Tenkû no shiro Rapyuta,8.0,"Animation, Adventure, Drama",125 min,U,1986
